country,subnational1,initial_area_ha,extent_2010_ha,gain_2010_2020_ha,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,loss_agri_perc,loss_urban_perc,loss_wildfire_perc,avg_tc_loss,extent_2020_ha
Brazil,Acre,15273530,15273530,66320,42826,40417,63217,50932,65615,52361,94455,92330,89247,88149,94978,0.12,7.057,10.583,70411.54545,14499003
Brazil,Alagoas,2775821,2775821,15736,8578,3550,8171,4393,4144,1069,2423,4710,3359,2364,3262,0.735,3.249,12.479,4183.909091,2729798
Brazil,Amapá,14221803,14221803,74530,10670,15296,21194,16069,20773,17124,42334,43099,15870,12518,9951,0.519,10.481,15.038,20445.27273,13996905
Brazil,Amazonas,156639184,148481870,223821,148229,84682,161271,123622,142781,152918,540537,256711,190032,211982,238719,0.669,6.733,11.914,204680.3636,154387700
Brazil,Bahia,56331366,5528285,389384,71169,49320,87027,47847,60581,40378,90758,68062,41018,31670,31584,0.224,13.902,9.601,56310.36364,55711952
Brazil,Ceará,14881135,14881135,25964,64016,11941,62854,50127,50355,25215,44174,50715,32185,18812,19887,0.896,8.124,14.223,39116.45455,14450854
Brazil,Distrito Federal,580299,580299,6207,206,234,365,164,620,510,780,927,630,539,322,0.144,2.308,13.017,481.5454545,575002
Brazil,Espírito Santo,4375196,4375196,136909,14572,18759,28481,23095,51991,36756,48875,59320,45218,22606,17295,0.397,5.69,9.397,33360.72727,4008228
Brazil,Goiás,34037005,34037005,289255,49458,51186,75863,58151,82737,73381,85949,138196,63934,74101,70038,0.826,11.276,15.786,74817.63636,33214011
Brazil,Maranhão,33029284,12372819,379791,191244,102788,193265,225558,273684,218686,685069,354111,322154,194409,224374,0.57,4.845,10.862,271394.7273,30043942
Brazil,Mato Grosso,90462712,90462712,690987,539723,363992,566587,263681,422047,375851,661213,979113,503374,492270,943277,0.318,9.671,13.928,555557.0909,84351584
Brazil,Mato Grosso do Sul,35703986,35703986,999966,61954,89021,96445,75743,98442,92340,123408,120695,119841,140354,233367,0.747,12.058,12.145,113782.7273,34452376
Brazil,Minas Gerais,58899333,58899333,1304430,194501,106863,234994,195289,359992,258788,376765,366812,259032,239046,245292,0.181,7.39,14.536,257943.0909,56061959
Brazil,Paraná,19915972,19915972,498438,63939,62236,84559,81216,91891,69311,110272,157591,96297,101075,86317,0.916,3.782,11.228,91336.72727,18911268
Brazil,Paraíba,5638303,5638303,11801,16623,5372,19489,10762,9890,6620,7407,9898,6068,3566,4217,0.615,13.115,9.91,9082.909091,5538391
Brazil,Pará,124836730,124836730,790212,568825,439665,564158,464885,611817,525810,1664374,1428080,901690,771152,893928,0.132,6.556,15.241,803125.8182,116002346
Brazil,Pernambuco,9822549,9822549,21626,34625,14661,44892,17045,15016,7953,14065,12389,11737,6245,9598,0.703,2.974,10.375,17111.45455,9634323
